Time (Mars Years), Time (Ls), Tsurf 1 bar 30km, Tsurf 1 bar 50km, Tsurf 1 bar 100km
          [Years],     [deg],              [K],              [K],               [K]
        0.0000        -10.27        560.596        572.725        600.800
        0.0015         -9.73        520.067        542.304        561.297
        0.0030         -9.19        507.833        528.640        541.766
        0.0045         -8.66        500.443        517.153        528.112
        0.0060         -8.12        494.877        501.825        520.668
        0.0075         -7.58        489.939        492.739        514.953
        0.0090         -7.04        484.765        486.071        510.298
        0.0105         -6.50        480.064        480.459        506.337
        0.0120         -5.96        475.578        475.483        502.872
        0.0135         -5.43        471.490        470.981        499.736
        0.0150         -4.89        467.908        466.893        496.846
        0.0165         -4.35        464.540        463.009        494.188
        0.0179         -3.81        461.397        459.384        491.852
        0.0194         -3.27        458.437        455.935        489.612
        0.0209         -2.73        455.621        452.703        487.568
        0.0224         -2.19        452.941        449.594        485.581
        0.0239         -1.66        450.391        446.603        483.649
        0.0254         -1.12        447.944        443.755        481.762
        0.0269         -0.58        445.558        441.002        480.035
        0.0284         -0.04        443.239        438.365        478.352
        0.0299          0.50        441.004        435.794        476.691
        0.0314          1.04        438.833        433.312        475.193
        0.0329          1.57        436.749        430.930        473.671
        0.0344          2.11        434.720        428.589        472.126
        0.0359          2.65        432.739        426.335        470.619
        0.0374          3.19        430.808        424.142        469.191
        0.0389          3.73        428.917        422.026        467.794
        0.0404          4.27        427.069        419.961        466.442
        0.0419          4.81        425.264        417.965        465.099
        0.0434          5.34        423.528        416.016        463.728
        0.0449          5.88        421.830        414.127        462.413
        0.0464          6.42        420.156        412.271        461.131
        0.0479          6.96        418.509        410.477        459.773
        0.0494          7.50        416.919        408.727        458.423
        0.0509          8.04        415.370        407.023        457.197
        0.0523          8.57        413.851        405.369        455.962
        0.0538          9.11        412.370        403.748        454.733
        0.0553          9.65        410.906        402.182        453.524
        0.0568         10.19        409.468        400.638        452.242
        0.0583         10.73        408.048        399.123        450.982
        0.0598         11.27        406.670        397.646        449.744
        0.0613         11.80        405.313        396.215        448.581
        0.0628         12.34        403.986        394.795        447.481
        0.0643         12.88        402.652        393.411        446.306
        0.0658         13.42        401.353        392.073        445.208
        0.0673         13.96        400.102        390.776        444.039
        0.0688         14.50        398.851        389.533        442.832
        0.0703         15.04        397.642        388.284        441.746
        0.0718         15.57        396.479        387.078        440.775
        0.0733         16.11        395.332        385.904        439.690
        0.0748         16.65        394.190        384.742        438.518
        0.0763         17.19        393.090        383.627        437.499
        0.0778         17.73        392.018        382.541        436.575
        0.0793         18.27        390.949        381.470        435.621
        0.0808         18.80        389.888        380.404        434.565
        0.0823         19.34        388.819        379.375        433.475
        0.0838         19.88        387.612        378.385        432.323
        0.0853         20.42        386.327        377.423        431.270
        0.0867         20.96        384.952        376.455        430.372
        0.0882         21.50        383.563        375.534        429.509
        0.0897         22.04        382.158        374.619        428.597
        0.0912         22.57        380.665        373.745        427.557
        0.0927         23.11        379.122        372.891        426.592
        0.0942         23.65        377.615        372.010        425.708
        0.0957         24.19        376.229        371.166        424.894
        0.0972         24.73        374.903        370.356        423.955
        0.0987         25.27        373.613        369.544        422.993
        0.1002         25.80        372.371        368.759        422.024
        0.1017         26.34        371.211        368.009        421.235
        0.1032         26.88        370.101        367.292        420.514
        0.1047         27.42        369.028        366.562        419.638
        0.1062         27.96        368.010        365.820        418.788
        0.1077         28.50        367.039        365.111        417.919
        0.1092         29.03        366.122        364.408        417.101
        0.1107         29.57        365.258        363.703        416.349
        0.1122         30.11        364.438        363.075        415.592
        0.1137         30.65        363.650        362.442        414.762
        0.1152         31.19        362.889        361.755        413.810
        0.1167         31.73        362.134        361.083        412.995
        0.1182         32.27        361.399        360.474        412.296
        0.1197         32.80        360.686        359.882        411.550
        0.1211         33.34        359.981        359.264        410.814
        0.1226         33.88        359.286        358.645        409.926
        0.1241         34.42        358.611        358.064        409.073
        0.1256         34.96        357.946        357.482        408.322
        0.1271         35.50        357.309        356.885        407.586
        0.1286         36.03        356.685        356.288        406.851
        0.1301         36.57        356.064        355.698        406.055
        0.1316         37.11        355.445        355.097        405.377
        0.1331         37.65        354.831        354.547        404.599
        0.1346         38.19        354.226        354.011        403.732
        0.1361         38.73        353.630        353.469        402.986
        0.1376         39.27        353.041        352.903        402.223
        0.1391         39.80        352.467        352.391        401.322
        0.1406         40.34        351.920        351.900        400.350
        0.1421         40.88        351.360        351.399        399.455
        0.1436         41.42        350.805        350.881        398.478
        0.1451         41.96        350.269        350.355        397.481
        0.1466         42.50        349.753        349.857        396.766
        0.1481         43.03        349.242        349.345        395.856
        0.1496         43.57        348.743        348.849        395.138
        0.1511         44.11        348.255        348.342        394.258
        0.1526         44.65        347.739        347.845        393.284
        0.1541         45.19        347.226        347.336        392.250
        0.1555         45.73        346.740        346.779        391.439
        0.1570         46.27        346.266        346.247        390.276
        0.1585         46.80        345.803        345.741        389.275
        0.1600         47.34        345.352        345.296        388.048
        0.1615         47.88        344.893        344.813        387.040
        0.1630         48.42        344.407        344.272        385.879
        0.1645         48.96        343.912        343.794        384.745
        0.1660         49.50        343.408        343.328        383.791
        0.1675         50.03        342.911        342.820        382.999
        0.1690         50.57        342.433        342.353        382.468
        0.1705         51.11        341.988        341.943        381.586
        0.1720         51.65        341.532        341.455        380.300
        0.1735         52.19        341.082        340.899        379.382
        0.1750         52.73        340.661        340.438        378.380
        0.1765         53.26        340.255        339.853        377.665
        0.1780         53.80        339.815        339.333        376.886
        0.1795         54.34        339.357        338.830        376.097
        0.1810         54.88        338.887        338.333        375.209
        0.1825         55.42        338.448        337.964        374.373
        0.1840         55.96        338.002        337.594        373.826
        0.1855         56.50        337.565        337.163        373.194
        0.1870         57.03        337.146        336.650        372.439
        0.1885         57.57        336.764        336.136        371.147
        0.1899         58.11        336.335        335.568        370.203
        0.1914         58.65        335.898        335.173        370.059
        0.1929         59.19        335.442        334.705        369.581
        0.1944         59.73        334.980        334.198        368.913
        0.1959         60.26        334.506        333.771        367.550
        0.1974         60.80        334.182        333.395        366.466
        0.1989         61.34        333.753        332.926        365.366
        0.2004         61.88        333.310        332.487        364.248
        0.2019         62.42        332.829        332.146        363.663
        0.2034         62.96        332.372        331.674        363.020
        0.2049         63.50        331.930        331.128        361.896
        0.2064         64.03        331.430        330.643        360.989
        0.2079         64.57        331.020        330.239        360.443
        0.2094         65.11        330.620        329.702        360.095
        0.2109         65.65        330.289        329.069        359.379
        0.2124         66.19        329.926        328.623        358.995
        0.2139         66.73        329.455        328.229        358.369
        0.2154         67.26        329.070        327.709        357.933
        0.2169         67.80        328.686        327.373        357.818
        0.2184         68.34        328.386        327.008        357.394
        0.2199         68.88        328.007        326.573        356.859
        0.2214         69.42        327.625        326.159        356.315
        0.2229         69.96        327.151        325.849        355.582
        0.2244         70.49        326.788        325.503        355.294
        0.2258         71.03        326.493        325.133        355.153
        0.2273         71.57        326.219        324.822        354.764
        0.2288         72.11        325.850        324.469        354.636
        0.2303         72.65        325.351        324.142        354.244
        0.2318         73.19        324.915        323.925        353.710
        0.2333         73.73        324.443        323.616        353.592
        0.2348         74.26        323.957        323.364        353.835
        0.2363         74.80        323.591        322.968        353.817
        0.2378         75.34        323.174        322.496        353.492
        0.2393         75.88        322.817        321.925        353.064
        0.2408         76.42        322.352        321.451        352.781
        0.2423         76.96        321.947        321.068        352.251
        0.2438         77.49        321.601        320.688        352.040
        0.2453         78.03        321.163        320.371        351.619
        0.2468         78.57        320.784        320.071        350.953
        0.2483         79.11        320.522        319.731        350.505
        0.2498         79.65        320.156        319.333        350.182
        0.2513         80.19        319.778        319.053        349.719
        0.2528         80.73        319.436        318.733        349.323
        0.2543         81.26        319.004        318.427        348.859
        0.2558         81.80        318.676        318.130        348.927
        0.2573         82.34        318.367        317.911        348.951
        0.2588         82.88        317.991        317.715        348.827
        0.2602         83.42        317.641        317.351        348.507
        0.2617         83.96        317.374        317.004        348.162
        0.2632         84.49        317.010        316.654        348.217
        0.2647         85.03        316.787        316.385        348.074
        0.2662         85.57        316.487        316.059        347.806
        0.2677         86.11        316.272        315.963        347.297
        0.2692         86.65        316.027        315.796        346.891
        0.2707         87.19        315.826        315.667        346.560
        0.2722         87.72        315.688        315.355        345.927
        0.2737         88.26        315.449        315.200        345.676
        0.2752         88.80        315.171        315.028        345.856
        0.2767         89.34        314.826        314.869        345.902
