Time (Mars Years), Time (Ls), Tsurf 500 mb 30km, Tsurf 500 mb 50km, Tsurf 500 mb 100km
          [Years],     [deg],               [K],               [K],                [K]
        0.0000        -10.27        552.000        564.411        586.221
        0.0015         -9.73        505.459        529.013        539.291
        0.0030         -9.19        488.703        510.376        524.245
        0.0045         -8.66        476.535        489.104        514.550
        0.0060         -8.12        460.499        474.595        507.395
        0.0075         -7.58        447.798        463.499        501.578
        0.0090         -7.04        439.128        454.034        496.727
        0.0105         -6.50        431.658        445.670        492.479
        0.0120         -5.96        424.951        438.138        488.736
        0.0135         -5.43        418.795        431.280        485.318
        0.0150         -4.89        413.176        425.026        482.139
        0.0165         -4.35        407.987        419.258        479.048
        0.0179         -3.81        403.140        413.929        475.999
        0.0194         -3.27        398.618        408.963        473.122
        0.0209         -2.73        394.377        404.339        470.380
        0.0224         -2.19        390.407        399.995        467.677
        0.0239         -1.66        386.634        395.884        465.056
        0.0254         -1.12        383.059        392.026        462.484
        0.0269         -0.58        379.713        388.398        459.853
        0.0284         -0.04        376.569        384.982        457.309
        0.0299          0.50        373.588        381.764        454.867
        0.0314          1.04        370.784        378.746        452.451
        0.0329          1.57        368.133        375.881        450.012
        0.0344          2.11        365.626        373.181        447.635
        0.0359          2.65        363.252        370.618        445.449
        0.0374          3.19        360.995        368.185        443.285
        0.0389          3.73        358.844        365.857        441.238
        0.0404          4.27        356.778        363.648        438.995
        0.0419          4.81        354.789        361.530        436.763
        0.0434          5.34        352.875        359.513        434.668
        0.0449          5.88        351.057        357.593        432.632
        0.0464          6.42        349.305        355.758        430.742
        0.0479          6.96        347.603        354.000        428.901
        0.0494          7.50        345.955        352.330        427.012
        0.0509          8.04        344.367        350.705        425.164
        0.0523          8.57        342.814        349.152        423.428
        0.0538          9.11        341.330        347.646        421.651
        0.0553          9.65        339.891        346.188        419.888
        0.0568         10.19        338.506        344.790        418.206
        0.0583         10.73        337.167        343.380        416.558
        0.0598         11.27        335.853        342.020        414.906
        0.0613         11.80        334.592        340.615        413.328
        0.0628         12.34        333.379        339.223        411.773
        0.0643         12.88        332.198        337.808        410.262
